計畫年度,主持人姓名,執行機關,內容
113,余文鍾,臺北榮民總醫院內科部心臟內科,"計畫名稱：心臟超音波影像組學與左心室肥厚的心血管疾病之相關性成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,250,000元(各年度經費明細)計畫概述：本計畫將心臟超音波偵測到左心室肥厚的病人影像，圈注心肌區域做特性分析，將各式肥厚型心臟疾病的影像組學使用人工智慧機器學習模型做鑑別診斷，偵測其相關聯的影像組學，並將進一步連結影像組學特徵與心臟...(詳)中文關鍵字：心臟超音波、影像組學、人工智慧、左心室肥厚、心肌病變英文關鍵字：echocardiography、radiomics、artificial intelligence、left ventricular hypertrophy、cardiomyopathy中文摘要：心臟超音波廣泛應用於心臟結構及功能評估，其中左心室心肌肥厚為臨床常見的異常表現，其成因多元，例如高血壓、嚴重主動脈狹窄、末期腎病透析患者、各式心肌病變如法布瑞氏症、類澱粉沉著症、肥厚型心肌病變...(詳)英文摘要：Echocardiography is the most widely used imaging tool for evaluation of cardiac structure and function, and left ventricular hypertrophy is commonly detected clinical abnormality. The causes of le...(詳)"
113,余沛慈,國立陽明交通大學光電工程學系,"計畫名稱：相容量子運算的AI輔助反向光學微影技術(1/5)成果報告：此為多年期計畫，於全程計畫結束後公開成果報告執行起迄：2024/05/01~2025/04/30總核定金額：9,000,000元(各年度經費明細)計畫概述：實現本計畫的影響包括為台灣光子學和電子產業節省大量與光學微影模擬、光學鄰近修正(OPC) 和光罩資料準備相關的成本。 本計畫的反向微影技術(ILT)將有助於縮小光電與小型代工廠與領先代工廠間的...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,余亞儒,國立高雄大學資訊工程學系,"計畫名稱：新無線電多基地台網路之多頻帶段調適與資源分配成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：768,000元(各年度經費明細)計畫概述：雖然第五代行動通訊新無線電在媒介存取控制層提供了多樣性的新機制來滿足不同裝置的需求，但此計畫發現要如何有效利用該新機制提升無線資源利用率面臨許多新的研究挑戰和有關鍵性的影響，此計畫研究新無線電...(詳)中文關鍵字：控制資源集合, 新無線電, 實體下行控制通道偏移量, 實體下行控制通道週期, 資源分配, 搜尋空間英文關鍵字：Control resource set, new radio, PDCCH offset, PDCCH period, resource allocation, search space中文摘要：在 5G 與未來 6G 網路中，多元應用類型帶來不同的無線資源需求：大規模機器類型通訊服務相對需要更多控制資源，而增強型行動寬頻服務則需更多數據資源。由於控制與數據共用同一頻譜，如何有效設定控...(詳)英文摘要：The diversity of application types in 5G and future 6G networks creates distinct radio resource demands: massive machine-type communications (mMTC) services require proportionally more control res...(詳)"
113,余貞誼,高雄醫學大學性別研究所,"計畫名稱：開放的多義性：開放政府資料政策的位移與轉變成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：1,278,000元(各年度經費明細)計畫概述：本計劃將梳理開放政府資料政策運作的行動網絡，描繪涉入其中的異質行動者的互動關係與機制，及其開展出的開放資料定義與想像；並藉此理解開放資料政策發展中的不確定性、多義性和偶然性，將會如何開展成另類...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,余冠儀,財團法人國家衛生研究院感染症與疫苗研究所,"計畫名稱：新冠病毒棘蛋白對長新冠後遺症的可能影響之研究成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,660,000元(各年度經費明細)計畫概述：新冠病毒感染會在病人身上造成發燒、咳嗽、肺炎和急性呼吸窘迫綜合症，有些患者在急性期之後或仍有持續的病症或出現新的症狀，稱為長新冠。新冠病毒持續演變出不同傳播能力及致病性的變種，由於新冠病毒棘蛋...(詳)中文關鍵字：SARS-CoV-2、棘蛋白、變異株、Delta、Omicron、長新冠英文關鍵字：SARS-CoV-2, spike, Delta, Omicron, long COVID中文摘要：在 COVID-19 大流行期間，出現了多種具有不同致病性和傳播力的 SARS-CoV-2 變異株。本研究探討了病毒棘蛋白 (S)在 SARS-CoV-2 致病機制中的角色。研究發現，Delt...(詳)英文摘要：During the COVID-19 pandemic, numerous SARS-CoV-2 variants emerged with distinct pathogenicity and transmissibility. This study examined the role of the spike (S) protein in SARS-CoV-2 pathogenesi...(詳)"
113,余冠儒,國立中山大學應用數學系（所）,"計畫名稱：系統發育網路的組合性質：雙射、交集以及平面性的探討成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：2,113,000元(各年度經費明細)計畫概述：我們提出的四類系統發育網路問題在都下都引起許多人興趣，我們相信這些問題若能夠被釐清，會將此類問題的研究再度推向另一個高度。目前不管是樹子網路或是癭瘤網路，我們合作團隊獲得的結果都在這領域備受關...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,余維泰,長庚醫療財團法人皮膚科,"計畫名稱：西方飲食及藍光LED照射對皮膚及腦發炎性老化之作用及病理機制之研究:皮膚與腦之連結成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：3,900,000元(各年度經費明細)計畫概述：本研究計畫旨在探討老化過程中皮膚和大腦炎症性老化（inflammaging）的時序性變化及其相互聯繫，特別聚焦於黑色素細胞與神經元的角色。隨著年齡增長，皮膚和大腦功能的衰退以及相關的炎症反應成...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,余育婷,輔仁大學學校財團法人輔仁大學中國文學系（所）,"計畫名稱：日治臺灣性靈詩研究：以賴和、陳虛谷為觀察對象成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：578,000元(各年度經費明細)計畫概述：本計畫以賴和與陳虛谷為觀察對象，企圖進一步拓展日治臺灣性靈詩論的研究。預期貢獻有：一、「性靈」作為一個傳統詩歌批評術語，在中國詩歌批評中有其發展脈絡，及至清代袁枚發揚光大。但日治臺灣使用「性靈...(詳)中文關鍵字：賴和、陳虛谷、性靈、臺灣詩論、漢詩英文關鍵字：Lai He, Chen Xugu, Xingling , Taiwanese Poetics, Classical Chinese Poetry中文摘要：本計畫觀察被推為性靈派詩人的賴和（1894-1943），以及自承為性靈派詩人的陳虛谷（1896-1965），藉由作家作品論的細緻探究，拓展臺灣詩論中的性靈說研究。透過賴和與陳虛谷的漢詩寫作，能...(詳)英文摘要：There are two differences between them: First, Yuan Mei's theory of nature and spirit emphasizes the true self, but does not strongly advocate reflecting reality. Therefore, although both pursue ""...(詳)"
113,余家斌,國立臺灣大學森林環境暨資源學系暨研究所,"計畫名稱：應用循證虛擬實境自然體驗促進樂齡長者健康研究成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：2,221,000元(各年度經費明細)計畫概述：本研究應用虛擬實境技術探討虛擬自然體驗對於樂齡族群的健康效益。從學術貢獻來看，可提供更多證據在虛擬自然體驗在健康促進研究上，深化數位休閒(digital leisure)健康效益理論。研究結果...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,余家富,中央研究院數學研究所,"計畫名稱：總計畫及子計畫1:質量公式以及志村簇基本軌道研究(2/3)成果報告：此為多年期計畫，於全程計畫結束後公開成果報告執行起迄：2024/08/01~2026/02/28總核定金額：3,049,000元(各年度經費明細)計畫概述：The present project concerns some unsolved problems in the areas of Shimura varieties and abelia...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,余品奐,國立臺灣大學獸醫學系暨研究所,"計畫名稱：野生臺灣黑熊之齒科疾病評估成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：3,090,000元(各年度經費明細)計畫概述：本計畫為臺灣首個對臺灣黑熊進行的牙科疾病、生理狀況之評估及調查，臺灣黑熊為亞洲黑熊之亞種，為臺灣唯一之熊科動物，在臺灣屬於瀕危野生動物，全臺計算數量約250-500隻，本研究將加強臺灣黑熊之獸...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,余菁蓉,國立暨南國際大學資訊管理學系（所）,"計畫名稱：數學規劃於統計預測與長短期記憶模型成果報告：執行起迄：2024/08/01~2025/11/30總核定金額：620,000元(各年度經費明細)計畫概述：現今機器學習下之統計預測、人工智慧、深度學習應用已成顯學，但觀察到使用者對方法原理了解的忽略，尤其盲目地使用易導致正確的觀察卻下錯誤的結論。若將機器學習之預測方法ARIMA與長短期記憶LSTM...(詳)中文關鍵字：Opt-ARIMA、外生變數、方向性準確度、季節性效應、數學規劃。英文關鍵字：Opt-ARIMA, exogenous variables, directional accuracy, seasonal effects, mathematical programming.中文摘要：本研究提出 Opt-ARIMAX 模型，作為 Opt-ARIMA(fw) 模型的擴展，旨在透過納入外生變數 (exogenous variables) 來提升對高波動性、非平穩金融時間序列的即...(詳)英文摘要：This study proposes Opt-ARIMAX, an extension of the Opt-ARIMA(fw) model that incorporates exogenous variables to improve real-time forecasting of highly volatile, non-stationary financial time ser...(詳)"
113,余黃平,長庚醫療財團法人麻醉科,"計畫名稱：新穎仿生奈米載體標靶至肺部上皮細胞與耐藥性病原菌以執行 RNA 干擾與抗菌功能：應用於感染性急性呼吸窘迫症之治療成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：4,725,000元(各年度經費明細)計畫概述：本計畫擬利用劑型改變研發製備新穎的標靶至肺部上皮細胞與耐藥性病原菌的仿生奈米結構載體，希望透過聚乳酸甘醇酸的包覆減少藥物副作用，使劑型能夠標靶至肺部上皮細胞與耐藥性病原菌，執行 RNA 干擾與...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,余俊穎,國立中正大學生物醫學科學系,"計畫名稱：環形RNA在初成型多能性的累進調控功能成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,050,000元(各年度經費明細)計畫概述：本計畫預計探討環形RNA在多能性轉換中的角色，同時預期建立環型RNA在形成型胚胎幹細胞的功能探討，與原始型胚胎幹細胞分化成原始內胚層時，環形RNA的功能。中文關鍵字：環形RNA, 泛素化, FBXW7, 多能性轉換。英文關鍵字：circRNA, NuRD complex, Fbxw7, ubiquitination, pluripotency transition.中文摘要：環形RNA為一新興的生物分子，可參與與多能性相關的許多機制調控。藉由研究多能性的轉換，我們發現了circT在多能性轉換中的角色，同時發現了NuRD complex為 circT的下游。circ...(詳)英文摘要：Circular RNA (circRNA) is an emerging biomolecule that participates in the regulation of many mechanisms related to pluripotency. By studying pluripotency transitions, we discovered the role of ci...(詳)"
113,余瓊宜,國立臺灣藝術大學美術學系（所）,"計畫名稱：Katharina Sieverding 早期自我肖像攝影成果報告：執行起迄：2024/08/01~2025/10/31總核定金額：679,000元(各年度經費明細)計畫概述：筆者長期關注德語區女性藝術家的創作，聚焦在「藝術與性別」的相關議題，目前臺灣在此相關領域上的研究與歐美國家比較起來，仍屬十分不足。筆者希望藉著此次計畫案的提出，對目前在臺灣仍較少人從事的相關主...(詳)中文關鍵字：Katharina Sieverding、性別、肖像、臉、攝影英文關鍵字：Katharina Sieverding, Gender, Portrait, Face, Photography中文摘要：從1960年代末至今，「臉」一直是Katharina Sieverding (b.1944)創作的核心所在。在當時，「身體」是主要的藝術媒介之一，但Sieverding在她的藝術中，幾乎只表現...(詳)英文摘要：From the late 1960s to the present day, 'face' has been at the center of Katharina Sieverding's (b.1944) creations. At the time, the 'body' was one of the main artistic mediums, but Sieverding rep...(詳)"
113,余柏毅,國立臺灣大學化學工程學系暨研究所,"計畫名稱：多種廢棄塑膠之裂解回收製程開發以及策略規劃研究成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,000,000元(各年度經費明細)計畫概述：本三年期計畫藉由建立嚴密設計之裂解模擬流程，詳細探討各廢棄塑膠之裂解反應機制與動力式，進行整廠製程之經濟與能耗最適化。計畫第一年建立挾帶床裂解反應器，並研究做為示範性材料的聚甲基丙烯酸甲酯塑膠...(詳)中文關鍵字：程序設計；嚴格模擬；經濟分析；生命週期分析；廢棄物處理；甲基丙烯酸甲酯英文關鍵字：Process Design; Rigorous Modeling; Techno-Economic Analysis; Life Cycle Assessment; Waste management; PMMA中文摘要：根據台灣環保署統計，民國111年台灣廢棄塑膠及橡膠收集量已達到77萬公噸，如何妥善處理廢棄物已然成為目前需迫切解決的問題。化學裂解回收為近來國際常使用之處理方法，其可避免物理回收中常發生之再生...(詳)英文摘要：Based on statistics from the Ministry of Environment in Taiwan, the collection of discarded plastics and rubber in Taiwan had reached 770,000 metric tons in 2022. Properly handling this waste has ...(詳)"
113,余淑美,國立中興大學生物科技發展中心,"計畫名稱：發展創新科技以加速培育耐多種逆境之水稻(3/3)成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,400,000元(各年度經費明細)計畫概述：水稻是全球一半人口及台灣人民的主食，利用新科技及策略以育成耐多種逆境、低成本投入、少用灌溉水、且維持高產量的新品種水稻，是一個很重要的研究題目。基因編輯能夠很迅速及精確地將優良性狀導入作物中，...(詳)中文關鍵字：水稻，環境變遷，基因編輯、耐乾旱、耐淹水、耐多種逆境、產量、精準分子育種英文關鍵字：rice, climate change, drought tolerance, flooding tolerance, multi-stress tolerance, grain yield, genome editing, precision molecular breeding中文摘要：植物在自然界中生長，經常面臨各種逆境，因而影響生長及產量。目前全球環境變遷極端化，生產足夠糧食以餵飽快速增加的人口，是21世紀所面臨最大的挑戰，因為必須利用更少的土地、水源、人工及能源，經常面...(詳)英文摘要：Rice is the major dietary staple for nearly half of humanity. The development of new strategies for breeding rice with tolerance to multiple stresses and low inputs of fertilizer/pest control and ...(詳)"
113,余志成,國立高雄科技大學智慧機電學院機電工程系,"計畫名稱：機器視覺為基農業自主機器人應用於作物與雜草管理的研究成果報告：執行起迄：2024/08/01~2025/10/31總核定金額：850,000元(各年度經費明細)計畫概述：本計畫研發一款自主農業機器人，具備雜草辨識移除、導航和作物地圖建立等功能，以機器人操作系統整合嵌入式系統實現控制架構，用於雜草辨識與短期蔬菜撒撥種植疏苗作業的自動化。計畫第一年將著重於除草機器...(詳)中文關鍵字：智慧農業機器人、撒播蔬菜、作物與雜草辨識、疏苗與除草自動化、溫室自主導航英文關鍵字：Smart Agricultural Robot, Broadcast-Seeded Vegetables, Crop and Weed Recognition, Automated Thinning and Weeding, Autonomous Greenhouse Navigation中文摘要：隨著台灣農村人口高齡化與年輕勞動力短缺問題日益嚴重，加上溫室環境條件受限，短期葉菜類作物之田間管理高度仰賴人工作業，導致生產成本與勞力負擔持續增加。為因應此一挑戰，本計畫以台灣短期撒播葉菜類作...(詳)英文摘要：With the increasing aging of the rural population and the persistent shortage of young labor in Taiwan, field management of short-cycle leafy vegetables in greenhouse environments remains highly d...(詳)"
113,余志鵬,國立中興大學土木工程學系（所）,"計畫名稱：脈衝反應原理於植筋品質檢測之應用 - 應力波訊號與物理參數關聯性之研究(II)成果報告：執行起迄：2024/08/01~2025/10/31總核定金額：930,000元(各年度經費明細)計畫概述：本計畫為發展”植筋握裹品質評估”之應力波動檢測技術之第二年研究，研究規劃為採用一般敲擊回音施測的方式，搭配由軸向波動的機動理論解發展之分析模組，有效將檢測所得的頻譜資訊與周遭介質之鍵結界面的黏...(詳)中文關鍵字：植筋、修護與補強、應力波檢測、握裹強度、品質檢測英文關鍵字：post-installed rebar, stress wave, bond condition, quality evaluation中文摘要：國內在植筋工法上之設計規範尚稱完整，但對於植筋工程的檢核與測試則無明確規範。現場之植筋施工品質的檢驗以選擇性的拉拔試驗做為合格與否的依據。然而拉拔試驗屬於破壞性之檢測方法，加以現場條件常有變異...(詳)英文摘要：While domestic design standards for rebar anchoring methods are relatively comprehensive, there are no clear standards for the inspection and testing of rebar anchoring projects. On-site inspectio...(詳)"
113,余忠仁,國立臺灣大學醫學院內科,"計畫名稱：非小细胞肺癌與腫瘤免疫微環境中關鍵鉀離子通道的表觀遺傳控制：機制與治療研究成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：4,638,000元(各年度經費明細)計畫概述：本研究將研究鉀離子通道在肺癌扮演的角色，以及其表觀遺傳調控之機轉。透過細胞株實驗、動物實驗、藥物篩選等方式，及體外細胞實驗，本研究將大幅增加對於肺癌生物表現之知識，以及可能的治療標的或與現有治...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,余泰毅,銘傳大學資訊應用與金融保險學系,"計畫名稱：運用人工智慧評估新興污染物的地下水污染潛勢成果報告：執行起迄：2024/11/01~2026/01/31總核定金額：680,000元(各年度經費明細)計畫概述：(1)了解國內指標新興污染物之機率密度函數分布
(2)基於國內外資料，建立機器學習模型預測新興污染物之濃度
(3)以新興污染物為主題，比較不同機器學習方法之適當性與對於新興污染物污染風險之...(詳)中文關鍵字：新興物污染物、機器學習方法、多變量統計、案例演練英文關鍵字：Contaminants of Emerging Concern, Machine Learning, Multivariate Statistics, Case Simulation中文摘要：新興污染物尚未被納入國際重大的法規監測計劃，其宿命、行為和生態毒理效應尚未被充分了解。這些污染物可能來自點污染源(城市或工業區的污水處理廠)，或通過大氣沉降、農作物和畜牧業生產等途徑進入環境。...(詳)英文摘要：Contaminants of Emerging Concern (CECs) have not yet been integrated into major international regulatory monitoring programs, and their environmental fate, behavior, and ecotoxicological effects r...(詳)"
113,余英松,國立東華大學材料科學與工程學系,"計畫名稱：以分子束磊晶系統在二維二硫化鎢上成長氮化銦鎵化合物半導體材料成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,450,000元(各年度經費明細)計畫概述：二維二硫化鎢與三維氮化鎵半導體材料的磊晶成長技術與其半導體異質接面之物理性質研究，將會是未來氮化物光電與電子元件重要的關鍵技術。經濟上，電子及光電元件的應用不再侷限於傳統的基板上，利用磊晶材料...(詳)中文關鍵字：分子束磊晶, 超高真空, 凡德瓦磊晶, 氮化鎵, 二硫化鎢, 異質接面英文關鍵字：Molecular beam epitaxy, ultra-high vacuum, van der Waals epitaxy, gallium nitride, tungsten disulfide, heterojunction中文摘要：本研究計畫利用具有超高真空環境之分子束磊晶系統，先進行化學氣相沉積之二維二硫化鎢材料的超高真空熱處理，試圖改善二硫化鎢材料的結晶特性；接著在此二維二硫化鎢上成長氮化鎵薄膜，以凡德瓦磊晶的方式成...(詳)英文摘要：This project focuses on the investigation of the van der Waals epitaxial growth of gallium nitride (GaN) on two-dimensional tungsten disulfide (WS₂) on sapphire by molecular beam epitaxy (MBE) sys...(詳)"
113,余執彰,中原大學資訊工程學系,"計畫名稱：基於Transformer架構之全監督與弱監督學習技術作衛星影像語意切割成果報告：執行起迄：2024/08/01~2025/08/31總核定金額：800,000元(各年度經費明細)計畫概述：本計畫希望能研發出創新技術來做到自動化的精準山崩判釋，可解決目前山崩目錄建置的痛點：需要耗費大量時間與人力成本做人工標記。在深度學習技術已蓬勃發展的今日，建立自動化地貌判釋(亦為，建立山崩目錄...(詳)中文關鍵字：弱監督學習;影像切割;multi-class token transformer;表徵差異化英文關鍵字：Weakly-supervised learning; Image segmentation; multi-class token transformer; feature representation discrepancy中文摘要：電腦視覺中的語義切割是重要的應用，但傳統的語義切割任務需要精確地像素級標記，因此弱監督架構的語意切割則僅使用不完全的標記訓練，可節省許多時間成本，但也由於其標記資料僅有該張影像有出現的類別，很...(詳)英文摘要：Semantic segmentation in computer vision is an important task; however, traditional semantic segmentation tasks require costly pixel-level annotation. Alternatively, weakly supervised semantic seg...(詳)"
113,余建泓,國立成功大學生物化學科暨生物化學暨分子生物學研究所,"計畫名稱：解碼遺傳密碼: 密碼子使用影響基因調控的機制(5/5)成果報告：執行起迄：2024/02/01~2025/07/31總核定金額：4,940,000元(各年度經費明細)計畫概述：密碼子使用偏移的現象廣泛存在在各基因體中。密碼子使用偏移如何透過演化而產生，以及密碼子使用偏移而影響基因表現或是蛋白質表達的結果都還不清楚。本計畫的目標在於回答密碼子使用偏移對於蛋白質表達影響...(詳)中文關鍵字：密碼子使用偏移, 蛋白質轉譯, 基因調控, 新冠病毒英文關鍵字：codon usage bias, protein translation, gene regulation, Corona Virus Disease 2019 (COVID-19)中文摘要：密碼子使用偏好（codon usage bias）是所有基因組的普遍特徵，對基因表現具有深遠的影響。然而，其在轉錄與轉譯層面上調控的分子機制仍未完全明朗。本研究發現，不同人類細胞類型之間的轉運...(詳)英文摘要：Codon usage bias is a universal feature of genomes that exerts profound influence on gene expression; however, the mechanistic basis of this regulation at transcriptional and translational levels ...(詳)"
113,余駿展,國立中興大學會計學系（所）,"計畫名稱：簽證會計師聲譽增加事件與認知審計品質成果報告：未達繳交期限執行起迄：2024/08/01~2025/12/31總核定金額：610,000元(各年度經費明細)計畫概述：以台灣執業會計師可以同時擔任制定會計和審計準則委員會之成員(準則制定會計師)為背景，本計畫欲研究這些準則制定會計師在任期期間，可否因此一聲譽上升事件，造成市場對其審計品質的認知(以股價異質性、...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,侯清賢,國立高雄科技大學水圈學院漁業科技與管理系,"計畫名稱：黑潮入侵現象對臺灣西南海域鰻苗漁場影響評估研究成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：5,967,000元(各年度經費明細)計畫概述：本研究於產業社會及學術發展等面向的預期影響性，詳述如下:
1.	釐清臺灣西南海域日本鰻苗漁場自然環境變動情形。
2.	判定日本鰻苗來游量變化為自然環境及人為因素的影響關聯性。
3.	建立...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,侯嘉星,國立中興大學歷史學系（所）,"計畫名稱：現代化的展示場：近代中國國營農場的建立及發展(1930-1960)成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：1,923,000元(各年度經費明細)計畫概述：十九世紀下半，農業科學的發展改變人類生產方式，也成為影響環境的重要關鍵。農業的現代化推進，也在中國帶來深遠影響，科技管理深入到農作生產的每一個角落，從而在技術人才培养和多樣化計劃方面帶來前所未...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,侯嘉洪,國立臺灣大學環境工程學研究所,"計畫名稱：先進液流式電容去離子技術於高選擇性鋰離子回收之研析成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：5,810,000元(各年度經費明細)計畫概述：本計劃旨在開發具有高鋰選擇性的先進電極材料，擴展液流式電容去離子技術於不同領域的應用，包括海水、海淡鹵水以及鋰電池廢液等目標。研究將聚焦於溶液中鋰離子之富集濃縮，透過開發高鋰選擇性潛力材料，作...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,侯明宏,國立中興大學基因體暨生物資訊學研究所,"計畫名稱：以結構為基礎與生物物理化學工具研究新型對稱與不對稱雙嵌入劑作用於DNA雙螺旋之機制及其作為抗癌藥物開發之衍生性應用成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：9,570,000元(各年度經費明細)計畫概述：新藥開發是生技產業非常重要的一環，而雙嵌入劑具有在單一DNA雙股螺旋或兩個獨立DNA鹼基對中插入發色團的能力，且具有卓越的抗癌效果。這些分子能專一性嵌入與癌症相關的DNA結構，進而降低副作用。...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,侯明宏,國立中興大學基因體暨生物資訊學研究所,"計畫名稱：利用結構生物暨生物物理工具探討新型DNA結合配體與錯配DNA的結合機制及其抗癌藥物開發前景成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：5,970,000元(各年度經費明細)計畫概述：癌症為全球死亡主因，而小分子化療藥物為治療癌症的主要策略。目前臨床使用的化療藥物皆因專一性低而使患者產生嚴重副作用。另一方面，由於臨床上長期的使用，多種化療藥物皆已出現抗藥性。因此，開發新型並...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,侯明鋒,高雄醫學大學附設中和紀念醫院,"計畫名稱：乳癌透過脂質代謝重組建構肺轉移微環境及誘發惡病質之分子機制探討(3/3)成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,460,000元(各年度經費明細)計畫概述：本計畫深具學術及產學價值，預期將會有可觀的臨床和價值。對於參與之研發人員，預期可獲生物技術和生物大數據運算訓練，可吸引更多年輕學子投入癌症和生資研究領域；而癌症研究之相關研發人員之養成，甚至包...(詳)中文關鍵字：肺轉移, 腫瘤-細胞基質交互作用, 巨噬細胞, 嗜中性細胞英文關鍵字：Lung metastasis; Tumor–ECM interaction; CD163⁺ macrophages; neutrophils中文摘要：三陰性乳癌（Triple-negative breast cancer , TNBC）約占所有乳癌的 15–20%，且與最差的臨床預後相關。雖然肺部定殖是導致死亡的主要原因之一，但肺轉移腫瘤及...(詳)英文摘要：Triple-negative breast cancer (TNBC) represents about 15–20% of cases and is associated with the poorest outcomes. While lung colonization drives much of the mortality, the spatial organization an...(詳)"
113,侯明鋒,高雄醫學大學附設中和紀念醫院,"計畫名稱：建立乳癌病人基因資訊平台:以表觀遺傳調控相關蛋白表現做為預測藥物反應性和復發之模具(2/3)成果報告：此為多年期計畫，於全程計畫結束後公開成果報告執行起迄：2024/08/01~2025/07/31總核定金額：1,530,000元(各年度經費明細)計畫概述：乳癌組織異質性是造成藥物反應性不佳的重要因素。因此，制定一套乳癌的個人化治療策略對於臨床治療上是一種莫大的實質幫助。目前在市場上有多項基因檢測，然而對於術後是否合併放射線治療尚無一套檢測工具。...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,侯明志,臺北榮民總醫院內科部胃腸肝膽科,"計畫名稱：營養介入治療及體能訓練對於肝硬化合併肌少症病患恢復肌肉及腸道菌生態平衡的臨床效益成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,200,000元(各年度經費明細)計畫概述：在這個三年期計畫中，我們將發起兩個隨機對照臨床試驗，分別探討個人化營養介入以及營養介入加上運動復健訓練是否能有效改善肝硬化病患的肌少症和腸道菌相失衡，進而減少肝硬化併發症的發生。為了確實掌握並...(詳)中文關鍵字：肝硬化、肌少症、腸道菌相失衡、營養介入、運動訓練。英文關鍵字：Liver cirrhosis, Sarcopenia, Gut dysbiosis, Nutritional intervention, Physical training中文摘要：肝硬化是台灣第十大死因，根據民國一百一十一年的統計，肝硬化共造成4,107人死亡。肝硬化患者常見的問題包括肌少症、營養不良、運動能力及身體機能下降，以及腸道菌相失衡，這些問題相互交織，進一步增...(詳)英文摘要：Cirrhosis is the 10th leading cause of death in Taiwan. In 2022, it was responsible for 4,107 deaths. Common issues among cirrhotic patients include sarcopenia, malnutrition, reduced physical func...(詳)"
113,侯純純,國立臺中科技大學商業設計系(含碩士班),"計畫名稱：永續的天然顏料：偶然造形創新途徑探討成果報告：執行起迄：2024/08/01~2025/10/31總核定金額：715,000元(各年度經費明細)計畫概述：本計畫預計透過開發一種偶然形圖案創作裝置，運用海水進行偶然造形圖像開發，具體而言，本研究目的包含（1）製鹽文史田野調查；（2）開發偶然形造形裝置；（3）新圖像造形方法提出與衍伸商品的開發。期望...(詳)中文關鍵字：基礎造形、偶然造形、鹽晶法、造形裝置、咖啡圈效應英文關鍵字：Basic Design, Accidental Form, Salt Crystal Method, Form Creation Device, Coffee-ring Effect中文摘要：本研究計畫「永續的天然顏料：偶然造形創新途徑探討」，旨在基礎造形教育與創作領域中，開拓偶然造形（Accidental Form）之新途徑。本計畫依據原定目標，透過文獻探討、田野調查及造形實驗，...(詳)英文摘要：This research project, titled “Sustainable Natural Pigments: Exploring Innovative Pathways for Accidental Form,” aims to pioneer new approaches to Accidental Form within the fields of basic design...(詳)"
